"trailername","chapters","gist","highlights","summary"
"borderlands","","","",""
"fallguy","","","",""
"daddio","","","",""
"strangers","","","",""
"transformers","","","",""
"moon","","","",""
"badboy","","","",""
"apes","","","",""
"exorcist","","","",""
"atlas","","","",""
"maxxxine","","","",""
"furiosa","","","",""
